dataset,group_id,memory_accept_count,memory_accept_count_availability,memory_accept_count_reason,memory_accept_rate,memory_accept_rate_availability,memory_accept_rate_reason,memory_candidate_count,memory_candidate_count_availability,memory_candidate_count_reason,memory_effective_reuse_rate,memory_effective_reuse_rate_availability,memory_effective_reuse_rate_reason,memory_eviction_count,memory_eviction_count_availability,memory_eviction_count_reason,memory_hit_count,memory_hit_count_availability,memory_hit_count_reason,memory_hit_rate,memory_hit_rate_availability,memory_hit_rate_reason,memory_injected_bytes,memory_injected_bytes_availability,memory_injected_bytes_reason,memory_injected_count,memory_injected_count_availability,memory_injected_count_reason,memory_injected_tokens,memory_injected_tokens_availability,memory_injected_tokens_reason,memory_query_count,memory_query_count_availability,memory_query_count_reason,memory_reference_id_count,memory_reference_id_count_availability,memory_reference_id_count_reason,memory_reject_count,memory_reject_count_availability,memory_reject_count_reason,memory_reuse_count,memory_reuse_count_availability,memory_reuse_count_reason,memory_success_write_count,memory_success_write_count_availability,memory_success_write_count_reason,memory_write_count,memory_write_count_availability,memory_write_count_reason,seed,task_id,task_success,task_success_availability,task_success_reason
humaneval,humaneval_list_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,0.75,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,43,humaneval_plus:HumanEval/70,True,available,
humaneval,humaneval_list_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,0.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,10,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,43,humaneval_plus:HumanEval/149,True,available,
humaneval,humaneval_string_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,0.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,44,humaneval_plus:HumanEval/27,True,available,
humaneval,humaneval_string_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,44,humaneval_plus:HumanEval/28,True,available,
humaneval,humaneval_string_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,0.6666666666666666,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,2,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,44,humaneval_plus:HumanEval/29,True,available,
humaneval,humaneval_string_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,0.75,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,44,humaneval_plus:HumanEval/51,True,available,
humaneval,humaneval_string_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,0.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,10,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,44,humaneval_plus:HumanEval/86,False,available,
humaneval,humaneval_list_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,0.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,44,humaneval_plus:HumanEval/26,False,available,
humaneval,humaneval_list_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,44,humaneval_plus:HumanEval/33,False,available,
humaneval,humaneval_list_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,0.6666666666666666,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,2,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,44,humaneval_plus:HumanEval/37,True,available,
humaneval,humaneval_list_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,0.75,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,44,humaneval_plus:HumanEval/70,True,available,
humaneval,humaneval_list_transforms,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,0.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,10,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,44,humaneval_plus:HumanEval/149,True,available,
mbpp,mbpp_list_rearrangement,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,0.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,42,mbpp_sanitized:591,True,available,
mbpp,mbpp_list_rearrangement,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,42,mbpp_sanitized:644,True,available,
mbpp,mbpp_list_rearrangement,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,0.6666666666666666,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,2,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,42,mbpp_sanitized:586,False,available,
mbpp,mbpp_list_rearrangement,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,0.75,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,42,mbpp_sanitized:743,True,available,
mbpp,mbpp_list_rearrangement,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,4,available,,0.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,10,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,5,available,,42,mbpp_sanitized:632,True,available,
mbpp,mbpp_regex_string_matching,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,0.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,42,mbpp_sanitized:434,True,available,
mbpp,mbpp_regex_string_matching,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,0.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,42,mbpp_sanitized:285,False,available,
mbpp,mbpp_regex_string_matching,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,公开记录没有逐条引用后的可评测关联。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2,available,,0.6666666666666666,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,2,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,3,available,,42,mbpp_sanitized:787,True,available,
