agent_message_count,agent_message_count_availability,agent_message_count_reason,agent_protocol_message_count,agent_protocol_message_count_availability,agent_protocol_message_count_reason,agent_text_characters,agent_text_characters_availability,agent_text_characters_reason,agent_text_message_count,agent_text_message_count_availability,agent_text_message_count_reason,agent_text_tokens,agent_text_tokens_availability,agent_text_tokens_reason,capability_handshake_bytes,capability_handshake_bytes_availability,capability_handshake_bytes_reason,capability_handshake_count,capability_handshake_count_availability,capability_handshake_count_reason,completion_tokens,completion_tokens_availability,completion_tokens_reason,deduplicated_context_bytes,deduplicated_context_bytes_availability,deduplicated_context_bytes_reason,experiment_group,infrastructure_failure,infrastructure_failure_availability,infrastructure_failure_reason,model_quality_failure,model_quality_failure_availability,model_quality_failure_reason,official_test_pass_rate,official_test_pass_rate_availability,official_test_pass_rate_reason,parse_success_rate,parse_success_rate_availability,parse_success_rate_reason,prompt_tokens,prompt_tokens_availability,prompt_tokens_reason,protocol_header_bytes,protocol_header_bytes_availability,protocol_header_bytes_reason,protocol_payload_bytes,protocol_payload_bytes_availability,protocol_payload_bytes_reason,protocol_payload_tokens,protocol_payload_tokens_availability,protocol_payload_tokens_reason,provider_latency_seconds,provider_latency_seconds_availability,provider_latency_seconds_reason,record_count,reference_id_count,reference_id_count_availability,reference_id_count_reason,repeated_context_bytes,repeated_context_bytes_availability,repeated_context_bytes_reason,request_count,request_count_availability,request_count_reason,sandbox_completion_rate,sandbox_completion_rate_availability,sandbox_completion_rate_reason,seed,task_success,task_success_availability,task_success_reason,total_tokens,total_tokens_availability,total_tokens_reason,total_wall_time,total_wall_time_availability,total_wall_time_reason
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,363.45,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,41.4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G1,0,available,,8,available,,0.5853658536585366,available,,1.0,available,,170.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0051918115499916,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,42,0.6,available,,211.9,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,631.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,89.85,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G2,0,available,,5,available,,0.7804878048780488,available,,1.0,available,,281.6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.1732410575499985,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,42,0.75,available,,371.45,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1026.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,101.9,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G3,0,available,,5,available,,0.7804878048780488,available,,1.0,available,,361.6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.496928352449993,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,42,0.75,available,,463.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1209.25,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,100.4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G4,0,available,,6,available,,0.7073170731707317,available,,1.0,available,,397.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.4819487706500127,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,42,0.7,available,,498.2,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,363.45,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,41.4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G1,0,available,,8,available,,0.5853658536585366,available,,1.0,available,,170.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0.9957167245499875,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,43,0.6,available,,211.9,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,631.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,89.85,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G2,0,available,,5,available,,0.7804878048780488,available,,1.0,available,,281.6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.1908146272500004,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,43,0.75,available,,371.45,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1026.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,101.9,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G3,0,available,,5,available,,0.7804878048780488,available,,1.0,available,,361.6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.5127209987499954,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,43,0.75,available,,463.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1209.25,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,100.4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G4,0,available,,6,available,,0.7073170731707317,available,,1.0,available,,397.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.486297855899994,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,43,0.7,available,,498.2,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,363.45,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,41.4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G1,0,available,,8,available,,0.5853658536585366,available,,1.0,available,,170.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,0.9967742828000041,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,44,0.6,available,,211.9,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,631.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,89.85,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G2,0,available,,5,available,,0.7804878048780488,available,,1.0,available,,281.6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.1915603005000093,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,44,0.75,available,,371.45,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1026.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,101.9,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G3,0,available,,5,available,,0.7804878048780488,available,,1.0,available,,361.6,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.5256440640999984,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,44,0.75,available,,463.5,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
1.0,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1209.25,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,100.4,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,G4,0,available,,6,available,,0.7073170731707317,available,,1.0,available,,397.8,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,2.4823216455500017,available,,20,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。,1.0,available,,1.0,available,,44,0.7,available,,498.2,available,,unavailable,unavailable,既有 M9 公共记录未记录该字段，不能从其他指标反推。
