agent_message_count,agent_protocol_message_count,agent_text_characters,agent_text_message_count,agent_text_tokens,capability_handshake_bytes,capability_handshake_count,completion_tokens,deduplicated_context_bytes,equivalent_text_state_bytes,experiment_group,infrastructure_failure,invalid_state_count,memory_abstain_count,memory_accept_count,memory_accept_rate,memory_candidate_count,memory_effective_reuse_rate,memory_eviction_count,memory_hit_count,memory_hit_rate,memory_injected_bytes,memory_injected_count,memory_injected_tokens,memory_query_count,memory_reject_count,memory_reuse_count,memory_success_write_count,memory_write_count,model_quality_failure,official_test_pass_rate,parse_success_rate,prompt_tokens,protocol_header_bytes,protocol_payload_bytes,protocol_payload_tokens,provider_latency_seconds,record_count,reference_id_count,repeated_context_bytes,request_count,sandbox_completion_rate,seed,state_compression_ratio,state_decode_latency,state_encode_latency,state_reference_bytes,state_vector_bytes,state_vector_count,task_success,total_tokens,total_wall_time
1.0,0.0,363.45,1.0,unavailable,unavailable,unavailable,48.45,unavailable,unavailable,S1,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.45,0.5121951219512195,1.0,135.5,unavailable,unavailable,unavailable,1.1567080281507516,20,unavailable,unavailable,1.0,1.0,42,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.55,183.95,1.2956110488506964
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,72.0,unavailable,unavailable,S2,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.45,0.6756756756756757,0.8,257.35,87.0,620.8,unavailable,1.742593884350208,20,3.0,unavailable,1.0,1.0,42,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.55,329.35,1.8797197569489072
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,60.75,unavailable,130.0,S3,0,0.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,0.7368421052631579,0.85,259.35,87.0,627.8,unavailable,1.4671760075005296,20,3.0,unavailable,1.0,1.0,42,0.7461538461538462,2.182445095968433e-05,4.205098957754672e-06,9.0,33.0,1.0,0.6,320.1,1.608181546149717
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,60.95,unavailable,130.0,S4,0,0.0,0.4,0.95,1.0,0.95,unavailable,0.0,0.6,0.6,17.1,0.95,0.95,1.0,0.0,0.95,0.55,1.0,0.45,0.6578947368421053,0.85,264.45,87.0,638.6,unavailable,1.4738498391023314,20,3.0,unavailable,1.0,1.0,42,0.7461538461538462,2.013710036408156e-05,4.032949800603092e-06,9.0,33.0,1.0,0.55,325.4,1.6175900441499835
1.0,0.0,363.45,1.0,unavailable,unavailable,unavailable,48.45,unavailable,unavailable,S1,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.45,0.5121951219512195,1.0,135.5,unavailable,unavailable,unavailable,1.162022074002016,20,unavailable,unavailable,1.0,1.0,43,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.55,183.95,1.3099279269474209
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,72.0,unavailable,unavailable,S2,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.45,0.6756756756756757,0.8,257.35,87.0,620.8,unavailable,1.7423604188028547,20,3.0,unavailable,1.0,1.0,43,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.55,329.35,1.8847724002502217
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,60.75,unavailable,130.0,S3,0,0.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,0.7368421052631579,0.85,259.35,87.0,627.8,unavailable,1.4703295059487573,20,3.0,unavailable,1.0,1.0,43,0.7461538461538462,1.9998999778181315e-05,4.028502007713541e-06,9.0,33.0,1.0,0.6,320.1,1.6136015603515261
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,60.95,unavailable,130.0,S4,0,0.0,0.4,0.95,1.0,0.95,unavailable,0.0,0.6,0.6,17.1,0.95,0.95,1.0,0.0,0.95,0.55,1.0,0.45,0.6578947368421053,0.85,264.45,87.0,638.6,unavailable,1.490557237900066,20,3.0,unavailable,1.0,1.0,43,0.7461538461538462,2.0978698012186213e-05,4.118050856050104e-06,9.0,33.0,1.0,0.55,325.4,1.6374028978476418
1.0,0.0,363.45,1.0,unavailable,unavailable,unavailable,48.45,unavailable,unavailable,S1,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.45,0.5121951219512195,1.0,135.5,unavailable,unavailable,unavailable,1.1587363011989509,20,unavailable,unavailable,1.0,1.0,44,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.55,183.95,1.309277556548477
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,72.0,unavailable,unavailable,S2,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.45,0.6756756756756757,0.8,257.35,87.0,620.8,unavailable,1.758085584348737,20,3.0,unavailable,1.0,1.0,44,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.55,329.35,1.9097084749519126
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,60.75,unavailable,130.0,S3,0,0.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,0.7368421052631579,0.85,259.35,87.0,627.8,unavailable,1.4789953010505996,20,3.0,unavailable,1.0,1.0,44,0.7461538461538462,2.011949909501709e-05,4.134999471716583e-06,9.0,33.0,1.0,0.6,320.1,1.6247598755515356
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,60.95,unavailable,130.0,S4,0,0.0,0.4,0.95,1.0,0.95,unavailable,0.0,0.6,0.6,17.1,0.95,0.95,1.0,0.0,0.95,0.55,1.0,0.45,0.6578947368421053,0.85,264.45,87.0,638.6,unavailable,1.4877186950507166,20,3.0,unavailable,1.0,1.0,44,0.7461538461538462,2.011250180657953e-05,4.019547486677766e-06,9.0,33.0,1.0,0.55,325.4,1.6350602927508588
