agent_message_count,agent_protocol_message_count,agent_text_characters,agent_text_message_count,agent_text_tokens,capability_handshake_bytes,capability_handshake_count,completion_tokens,dataset,deduplicated_context_bytes,equivalent_text_state_bytes,experiment_group,group_id,infrastructure_failure,invalid_state_count,memory_abstain_count,memory_accept_count,memory_accept_rate,memory_candidate_count,memory_effective_reuse_rate,memory_eviction_count,memory_hit_count,memory_hit_rate,memory_injected_bytes,memory_injected_count,memory_injected_tokens,memory_query_count,memory_reject_count,memory_reuse_count,memory_success_write_count,memory_write_count,model_quality_failure,official_test_pass_rate,parse_success_rate,prompt_tokens,protocol_header_bytes,protocol_payload_bytes,protocol_payload_tokens,provider_latency_seconds,record_count,reference_id_count,repeated_context_bytes,request_count,sandbox_completion_rate,state_compression_ratio,state_decode_latency,state_encode_latency,state_reference_bytes,state_vector_bytes,state_vector_count,task_success,total_tokens,total_wall_time
1.0,0.0,566.2,1.0,unavailable,unavailable,unavailable,66.2,humaneval,unavailable,unavailable,S1,humaneval_list_transforms,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.6,0.4,1.0,199.6,unavailable,unavailable,unavailable,1.5867536091362127,15,unavailable,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,265.8,1.8607716372663465
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,125.4,humaneval,unavailable,unavailable,S2,humaneval_list_transforms,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.6,0.6666666666666666,0.6,330.2,87.0,839.0,unavailable,3.0599664296013844,15,3.0,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,455.6,3.3308182854001642
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,82.8,humaneval,unavailable,130.0,S3,humaneval_list_transforms,0,0.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.6,0.5,0.8,332.2,87.0,846.0,unavailable,2.0172479799987437,15,3.0,unavailable,1.0,1.0,0.7461538461538462,2.1546732750721275e-05,4.5138673158362504e-06,9.0,33.0,1.0,0.4,415.0,2.2897889347339513
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,82.8,humaneval,unavailable,130.0,S4,humaneval_list_transforms,0,0.0,0.8,0.2,1.0,0.2,unavailable,0.0,0.2,0.2,3.6,0.2,0.2,1.0,0.0,0.2,0.4,1.0,0.6,0.5,0.8,333.2,87.0,848.2,unavailable,2.0275749730004464,15,3.0,unavailable,1.0,1.0,0.7461538461538462,2.188626773810635e-05,4.400533119527002e-06,9.0,33.0,1.0,0.4,416.0,2.303561348399186
1.0,0.0,451.0,1.0,unavailable,unavailable,unavailable,29.4,humaneval,unavailable,unavailable,S1,humaneval_string_transforms,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.2,0.8,1.0,155.6,unavailable,unavailable,unavailable,0.7044276714654795,15,unavailable,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.8,185.0,0.9828954935985773
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,85.8,humaneval,unavailable,unavailable,S2,humaneval_string_transforms,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.6,0.6666666666666666,0.6,289.0,87.0,721.6,unavailable,2.0854547749991372,15,3.0,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,374.8,2.3584926294686737
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,88.4,humaneval,unavailable,130.0,S3,humaneval_string_transforms,0,0.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.6,0.6666666666666666,0.6,291.0,87.0,728.6,unavailable,2.1480610547325343,15,3.0,unavailable,1.0,1.0,0.7461538461538462,2.0524333619202175e-05,4.3025997001677755e-06,9.0,33.0,1.0,0.4,379.4,2.4184044772662068
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,87.8,humaneval,unavailable,130.0,S4,humaneval_string_transforms,0,0.0,0.4,1.0,1.0,1.0,unavailable,0.0,0.6,0.6,18.0,1.0,1.0,1.0,0.0,1.0,0.4,1.0,0.6,0.6666666666666666,0.6,296.4,87.0,740.0,unavailable,2.14032323146821,15,3.0,unavailable,1.0,1.0,0.7461538461538462,2.151179942302406e-05,4.342798880922297e-06,9.0,33.0,1.0,0.4,384.2,2.4161154610657833
1.0,0.0,211.6,1.0,unavailable,unavailable,unavailable,63.6,mbpp,unavailable,unavailable,S1,mbpp_list_rearrangement,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.2,0.8,1.0,92.4,unavailable,unavailable,unavailable,1.5255362322660706,15,unavailable,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.8,156.0,1.5395774131301248
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,44.8,mbpp,unavailable,unavailable,S2,mbpp_list_rearrangement,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.0,1.0,1.0,204.2,87.0,454.6,unavailable,1.0723990365338978,15,3.0,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.0,249.0,1.0862387129328757
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,41.0,mbpp,unavailable,130.0,S3,mbpp_list_rearrangement,0,0.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.0,1.0,1.0,206.2,87.0,461.6,unavailable,0.9843330540665193,15,3.0,unavailable,1.0,1.0,0.7461538461538462,2.0414399720417957e-05,3.851533983834088e-06,9.0,33.0,1.0,1.0,247.2,0.9984233776670105
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,41.0,mbpp,unavailable,130.0,S4,mbpp_list_rearrangement,0,0.0,0.2,1.6,1.0,1.6,unavailable,0.0,0.8,0.8,28.8,1.6,1.6,1.0,0.0,1.6,0.8,1.0,0.2,0.8,1.0,215.0,87.0,480.0,unavailable,0.9846984982674863,15,3.0,unavailable,1.0,1.0,0.7461538461538462,1.9314532983116807e-05,3.7612665134171644e-06,9.0,33.0,1.0,0.8,256.0,0.9991381356676963
1.0,0.0,225.0,1.0,unavailable,unavailable,unavailable,34.6,mbpp,unavailable,unavailable,S1,mbpp_regex_string_matching,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.8,0.1875,1.0,94.4,unavailable,unavailable,unavailable,0.8199043582678617,15,unavailable,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.2,129.0,0.8365108324670776
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,32.0,mbpp,unavailable,unavailable,S2,mbpp_regex_string_matching,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.6,0.375,1.0,206.0,87.0,468.0,unavailable,0.7728996088679803,15,3.0,unavailable,1.0,1.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,238.0,0.7900512150663417
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,30.8,mbpp,unavailable,130.0,S3,mbpp_regex_string_matching,0,0.0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.4,0.5625,1.0,208.0,87.0,475.0,unavailable,0.7390256638687182,15,3.0,unavailable,1.0,1.0,0.7461538461538462,2.0105133686835566e-05,3.8234662497416135e-06,9.0,33.0,1.0,0.6,238.8,0.7554405197365365
2.2,2.2,unavailable,0.0,unavailable,unavailable,unavailable,32.2,mbpp,unavailable,130.0,S4,mbpp_regex_string_matching,0,0.0,0.2,1.0,1.0,1.0,unavailable,0.0,0.8,0.8,18.0,1.0,1.0,1.0,0.0,1.0,0.6,1.0,0.4,0.5625,1.0,213.2,87.0,486.2,unavailable,0.7835709933346758,15,3.0,unavailable,1.0,1.0,0.7461538461538462,1.8925133432882527e-05,3.7227990105748175e-06,9.0,33.0,1.0,0.6,245.4,0.8012560345319798
